symbol,name,market_cap
FRT,Federal Realty Investment Trust,100000000000
FDX,FedEx,100000000000
FIS,Fidelity National Information Services,100000000000
FITB,Fifth Third Bancorp,100000000000
FSLR,First Solar,100000000000
FE,FirstEnergy,100000000000
FI,Fiserv,100000000000
F,Ford Motor Company,100000000000
FTNT,Fortinet,100000000000
FTV,Fortive,100000000000
FOXA,Fox Corporation (Class A),100000000000
FOX,Fox Corporation (Class B),100000000000
BEN,Franklin Resources,100000000000
FCX,Freeport-McMoRan,100000000000
GRMN,Garmin,100000000000
IT,Gartner,100000000000
GE,GE Aerospace,100000000000
GEHC,GE HealthCare,100000000000
GEV,GE Vernova,100000000000
GEN,Gen Digital,100000000000
GNRC,Generac,100000000000
GD,General Dynamics,100000000000
GIS,General Mills,100000000000
GM,General Motors,100000000000
GPC,Genuine Parts Company,100000000000
GILD,Gilead Sciences,100000000000
GPN,Global Payments,100000000000
GL,Globe Life,100000000000
GDDY,GoDaddy,100000000000
GS,Goldman Sachs,100000000000
HAL,Halliburton,100000000000
HIG,Hartford (The),100000000000
HAS,Hasbro,100000000000
HCA,HCA Healthcare,100000000000
DOC,Healthpeak Properties,100000000000
HSIC,Henry Schein,100000000000
HSY,Hershey Company (The),100000000000
HES,Hess Corporation,100000000000
HPE,Hewlett Packard Enterprise,100000000000
HLT,Hilton Worldwide,100000000000
HOLX,Hologic,100000000000
HD,Home Depot (The),100000000000
HON,Honeywell,100000000000
HRL,Hormel Foods,100000000000
HST,Host Hotels & Resorts,100000000000
HWM,Howmet Aerospace,100000000000
HPQ,HP Inc.,100000000000
HUBB,Hubbell Incorporated,100000000000
HUM,Humana,100000000000
HBAN,Huntington Bancshares,100000000000
HII,Huntington Ingalls Industries,100000000000
IBM,IBM,100000000000
IEX,IDEX Corporation,100000000000
IDXX,Idexx Laboratories,100000000000
ITW,Illinois Tool Works,100000000000
INCY,Incyte,100000000000
IR,Ingersoll Rand,100000000000
PODD,Insulet Corporation,100000000000
INTC,Intel,100000000000
ICE,Intercontinental Exchange,100000000000
IFF,International Flavors & Fragrances,100000000000
IP,International Paper,100000000000
IPG,Interpublic Group of Companies (The),100000000000
INTU,Intuit,100000000000
ISRG,Intuitive Surgical,100000000000
IVZ,Invesco,100000000000
INVH,Invitation Homes,100000000000
IQV,IQVIA,100000000000
IRM,Iron Mountain,100000000000
JBHT,J.B. Hunt,100000000000
JBL,Jabil,100000000000
JKHY,Jack Henry & Associates,100000000000
J,Jacobs Solutions,100000000000
JNJ,Johnson & Johnson,100000000000
JCI,Johnson Controls,100000000000
JPM,JPMorgan Chase,100000000000
JNPR,Juniper Networks,100000000000
K,Kellanova,100000000000
KVUE,Kenvue,100000000000
KDP,Keurig Dr Pepper,100000000000
KEY,KeyCorp,100000000000
KEYS,Keysight Technologies,100000000000
KMB,Kimberly-Clark,100000000000
KIM,Kimco Realty,100000000000
KMI,Kinder Morgan,100000000000
KKR,KKR & Co.,100000000000
KLAC,KLA Corporation,100000000000
KHC,Kraft Heinz,100000000000
KR,Kroger,100000000000
LHX,L3Harris,100000000000
LH,Labcorp,100000000000
LRCX,Lam Research,100000000000
LW,Lamb Weston,100000000000
LVS,Las Vegas Sands,100000000000
LDOS,Leidos,100000000000
LEN,Lennar,100000000000
LII,Lennox International,100000000000
LLY,Lilly (Eli),100000000000
LIN,Linde plc,100000000000
LYV,Live Nation Entertainment,100000000000
LKQ,LKQ Corporation,100000000000
LMT,Lockheed Martin,100000000000
L,Loews Corporation,100000000000
LOW,Lowe's,100000000000
LULU,Lululemon Athletica,100000000000
LYB,LyondellBasell,100000000000
MTB,M&T Bank,100000000000
MPC,Marathon Petroleum,100000000000
MKTX,MarketAxess,100000000000
MAR,Marriott International,100000000000
MMC,Marsh McLennan,100000000000
MLM,Martin Marietta Materials,100000000000
MAS,Masco,100000000000
MA,Mastercard,100000000000
MTCH,Match Group,100000000000
MKC,McCormick & Company,100000000000
MCD,McDonald's,100000000000
MCK,McKesson Corporation,100000000000
MDT,Medtronic,100000000000
MRK,Merck & Co.,100000000000
META,Meta Platforms,100000000000
MET,MetLife,100000000000
MTD,Mettler Toledo,100000000000
MGM,MGM Resorts,100000000000
MCHP,Microchip Technology,100000000000
MU,Micron Technology,100000000000
MSFT,Microsoft,100000000000
MAA,Mid-America Apartment Communities,100000000000
MRNA,Moderna,100000000000
MHK,Mohawk Industries,100000000000
MOH,Molina Healthcare,100000000000
TAP,Molson Coors Beverage Company,100000000000
MDLZ,Mondelez International,100000000000
MPWR,Monolithic Power Systems,100000000000
MNST,Monster Beverage,100000000000
MCO,Moody's Corporation,100000000000
MS,Morgan Stanley,100000000000
MOS,Mosaic Company (The),100000000000
MSI,Motorola Solutions,100000000000
MSCI,MSCI Inc.,100000000000
NDAQ,"Nasdaq, Inc.",100000000000
NTAP,NetApp,100000000000
NFLX,Netflix,100000000000
NEM,Newmont,100000000000
NWSA,News Corp (Class A),100000000000
NWS,News Corp (Class B),100000000000
NEE,NextEra Energy,100000000000
NKE,"Nike, Inc.",100000000000
NI,NiSource,100000000000
NDSN,Nordson Corporation,100000000000
NSC,Norfolk Southern,100000000000
NTRS,Northern Trust,100000000000
NOC,Northrop Grumman,100000000000
NCLH,Norwegian Cruise Line Holdings,100000000000
NRG,NRG Energy,100000000000
NUE,Nucor,100000000000
NVDA,Nvidia,100000000000
NVR,"NVR, Inc.",100000000000
NXPI,NXP Semiconductors,100000000000
ORLY,O’Reilly Automotive,100000000000
OXY,Occidental Petroleum,100000000000
ODFL,Old Dominion,100000000000
OMC,Omnicom Group,100000000000
ON,ON Semiconductor,100000000000
OKE,Oneok,100000000000
ORCL,Oracle Corporation,100000000000
OTIS,Otis Worldwide,100000000000
PCAR,Paccar,100000000000
PKG,Packaging Corporation of America,100000000000
PLTR,Palantir Technologies,100000000000
PANW,Palo Alto Networks,100000000000
PARA,Paramount Global,100000000000
PH,Parker Hannifin,100000000000
PAYX,Paychex,100000000000
PAYC,Paycom,100000000000
PYPL,PayPal,100000000000
PNR,Pentair,100000000000
PEP,PepsiCo,100000000000
PFE,Pfizer,100000000000
PCG,PG&E Corporation,100000000000
PM,Philip Morris International,100000000000
PSX,Phillips 66,100000000000
PNW,Pinnacle West Capital,100000000000
PNC,PNC Financial Services,100000000000
POOL,Pool Corporation,100000000000
PPG,PPG Industries,100000000000
PPL,PPL Corporation,100000000000
PFG,Principal Financial Group,100000000000
PG,Procter & Gamble,100000000000
PGR,Progressive Corporation,100000000000
PLD,Prologis,100000000000
PRU,Prudential Financial,100000000000
PEG,Public Service Enterprise Group,100000000000
PTC,PTC Inc.,100000000000
PSA,Public Storage,100000000000
PHM,PulteGroup,100000000000
PWR,Quanta Services,100000000000
QCOM,Qualcomm,100000000000
DGX,Quest Diagnostics,100000000000
RL,Ralph Lauren Corporation,100000000000
RJF,Raymond James Financial,100000000000
RTX,RTX Corporation,100000000000
O,Realty Income,100000000000
REG,Regency Centers,100000000000
REGN,Regeneron Pharmaceuticals,100000000000
RF,Regions Financial Corporation,100000000000
RSG,Republic Services,100000000000
RMD,ResMed,100000000000
RVTY,Revvity,100000000000
ROK,Rockwell Automation,100000000000
ROL,"Rollins, Inc.",100000000000
ROP,Roper Technologies,100000000000
ROST,Ross Stores,100000000000
RCL,Royal Caribbean Group,100000000000
SPGI,S&P Global,100000000000
CRM,Salesforce,100000000000
SBAC,SBA Communications,100000000000
SLB,Schlumberger,100000000000
STX,Seagate Technology,100000000000
SRE,Sempra,100000000000
NOW,ServiceNow,100000000000
SHW,Sherwin-Williams,100000000000
SPG,Simon Property Group,100000000000
SWKS,Skyworks Solutions,100000000000
SJM,J.M. Smucker Company (The),100000000000
SW,Smurfit Westrock,100000000000
SNA,Snap-on,100000000000
SOLV,Solventum,100000000000
SO,Southern Company,100000000000
LUV,Southwest Airlines,100000000000
SWK,Stanley Black & Decker,100000000000
SBUX,Starbucks,100000000000
STT,State Street Corporation,100000000000
STLD,Steel Dynamics,100000000000
STE,Steris,100000000000
SYK,Stryker Corporation,100000000000
SMCI,Supermicro,100000000000
SYF,Synchrony Financial,100000000000
SNPS,Synopsys,100000000000
SYY,Sysco,100000000000
TMUS,T-Mobile US,100000000000
TROW,T. Rowe Price,100000000000
TTWO,Take-Two Interactive,100000000000
TPR,"Tapestry, Inc.",100000000000
TRGP,Targa Resources,100000000000
TGT,Target Corporation,100000000000
TEL,TE Connectivity,100000000000
TDY,Teledyne Technologies,100000000000
TER,Teradyne,100000000000
TSLA,"Tesla, Inc.",100000000000
TXN,Texas Instruments,100000000000
TPL,Texas Pacific Land Corporation,100000000000
TXT,Textron,100000000000
TMO,Thermo Fisher Scientific,100000000000
TJX,TJX Companies,100000000000
TKO,TKO Group Holdings,100000000000
TSCO,Tractor Supply,100000000000
TT,Trane Technologies,100000000000
TDG,TransDigm Group,100000000000
TRV,Travelers Companies (The),100000000000
TRMB,Trimble Inc.,100000000000
TFC,Truist Financial,100000000000
TYL,Tyler Technologies,100000000000
TSN,Tyson Foods,100000000000
USB,U.S. Bancorp,100000000000
UBER,Uber,100000000000
UDR,"UDR, Inc.",100000000000
ULTA,Ulta Beauty,100000000000
UNP,Union Pacific Corporation,100000000000
UAL,United Airlines Holdings,100000000000
UPS,United Parcel Service,100000000000
URI,United Rentals,100000000000
UNH,UnitedHealth Group,100000000000
UHS,Universal Health Services,100000000000
VLO,Valero Energy,100000000000
VTR,Ventas,100000000000
VLTO,Veralto,100000000000
VRSN,Verisign,100000000000
VRSK,Verisk Analytics,100000000000
VZ,Verizon,100000000000
VRTX,Vertex Pharmaceuticals,100000000000
VTRS,Viatris,100000000000
VICI,Vici Properties,100000000000
V,Visa Inc.,100000000000
VST,Vistra Corp.,100000000000
VMC,Vulcan Materials Company,100000000000
WRB,W. R. Berkley Corporation,100000000000
GWW,W. W. Grainger,100000000000
WAB,Wabtec,100000000000
WBA,Walgreens Boots Alliance,100000000000
WMT,Walmart,100000000000
DIS,Walt Disney Company (The),100000000000
WBD,Warner Bros. Discovery,100000000000
WM,Waste Management,100000000000
WAT,Waters Corporation,100000000000
WEC,WEC Energy Group,100000000000
WFC,Wells Fargo,100000000000
WELL,Welltower,100000000000
WST,West Pharmaceutical Services,100000000000
WDC,Western Digital,100000000000
WY,Weyerhaeuser,100000000000
WSM,"Williams-Sonoma, Inc.",100000000000
WMB,Williams Companies,100000000000
WTW,Willis Towers Watson,100000000000
WDAY,"Workday, Inc.",100000000000
WYNN,Wynn Resorts,100000000000
XEL,Xcel Energy,100000000000
XYL,Xylem Inc.,100000000000
YUM,Yum! Brands,100000000000
ZBRA,Zebra Technologies,100000000000
ZBH,Zimmer Biomet,100000000000
ZTS,Zoetis,100000000000
TSM,Taiwan Semiconductor,500000000000
ASML,ASML Holding N.V.,350000000000
BABA,Alibaba Group,200000000000
SHOP,Shopify Inc.,70000000000
COIN,Coinbase Global Inc.,35000000000
PLTR,Palantir Technologies Inc.,60000000000
DDOG,Datadog Inc.,45000000000
SNOW,Snowflake Inc.,55000000000
ZS,Zscaler Inc.,30000000000
ROKU,Roku Inc.,10000000000
RIVN,Rivian Automotive Inc.,15000000000
UBER,Uber Technologies Inc.,110000000000
